Name
R
Python
Data Analysis
Econometrics
Project Management
Statistics
Analytical Skills
Modeling
Economics
Data Science
Analytics
SQL
Tableau
GIS
ArcGIS
HTML
Cascading Style Sheets (CSS)
Microsoft Office
Adobe Photoshop
Lightroom
Team Leadership
Communication
Time Management
Machine Learning
Git
data visualization
command line
web scraping (beautiful soup)
