Name,Url,Authority,Started On,Finished On,License Number
Tableau 2020 A-Z: Hands-On Tableau Training for Data Science,https://www.udemy.com/certificate/UC-dc0d4ec3-8844-45c0-ad0a-01d2f20e8cc6/,Udemy,Aug 2020,,
Complete Python Bootcamp: From Zero to Hero in Python,https://www.udemy.com/certificate/UC-4ea80927-e888-4854-8e3c-f1052aefa905/,Udemy,Sep 2020,,
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,https://www.udemy.com/certificate/UC-0cca7033-a53c-4d43-9768-b87c9b1d781e/,Udemy,Sep 2020,,
