Name,Url,Authority,Started On,Finished On,License Number
PRC Bar,,,,,
PRC Patent Agent （2/3）,,,,,
Professional Research Certification,,LexisNexis,Apr 2018,,
California Bar,,State Bar of California,,,
Admitted to Court of International Trade ,,U.S. Court of International Trade,,,
