Challenge Date,IP Address,User Agent,Country,Challenge Type
Thu Sep 05 18:33:39 UTC 2019,69.166.46.152,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",United States,CAPTCHA_CHALLENGE
Thu Mar 26 17:17:36 UTC 2020,74.87.135.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",United States,SMS
