Event Name,Event Time,Status,External Url
Game of Thrones:The Business of Data in and between Greater China and US,"Nov 23, 2020 02:00 AM - Nov 23, 2020 03:00 AM",ATTENDING,
How the fastest-growing companies work with data. Learn from Stripe and co.,"Dec 15, 2020 06:00 PM - Dec 15, 2020 07:00 PM",ATTENDING,https://www.enki.com/resources/webinar-how-to-make-your-team-data-driven
